Organism Name,Average Gene Length,Average Length of First Coded Exon to Last Coded Exon
Equus caballus,50016.553933267816,43992.247648462726
Pan troglodytes,58905.45761616907,50637.3208435236
Pongo abelii,57048.74539921751,50122.79930444863
Desmodus rotundus,44604.25326902465,41169.657288317256
Neophocaena asiaeorientalis asiaeorientalis,50777.782813355225,45379.87296113848
Bubalus bubalis,53872.417250852595,47293.0910856385
Vulpes vulpes,48151.790402221995,43217.85716490073
Canis lupus dingo,53340.59340175953,46087.34736070381
Theropithecus gelada,57495.85902977906,50662.00091258405
Callorhinus ursinus,49917.93261231281,45368.00295803291
Puma concolor,47667.38021009827,46560.52490681125
Macaca mulatta,58176.93138590147,50480.574648945665
Bos indicus x Bos taurus,54454.222523036005,47448.91208321459
Urocitellus parryii,46713.29802143446,42347.10856347898
Ursus arctos horribilis,48094.905747588426,42787.461012861735
Cricetulus griseus,39283.937924784776,35061.663253285005
Lagenorhynchus obliquidens,54808.371369632485,48460.50556430161
Acinonyx jubatus,55834.20408893432,48466.6760030667
Eumetopias jubatus,48239.0252643351,44196.22392232615
Ornithorhynchus anatinus,49899.1537746679,42995.18504345925
Phyllostomus discolor,44872.34246504402,41292.37628171931
Peromyscus leucopus,45013.05910231391,39965.77362698634
Grammomys surdaster,40450.405298628866,36459.846386242156
Monodon monoceros,56456.87655528389,49661.320999728334
Suricata suricatta,48758.81697854861,43456.72077691567
Lynx canadensis,53715.04587203038,47534.819539227254
Mus caroli,45923.54913703669,40275.47062152221
Mus pahari,45709.03275352488,40342.74092737051
Vombatus ursinus,59992.402098061575,54342.69828962372
Zalophus californianus,54988.47427088105,47844.310378174785
